,user_id,business_id,text,date,compliment_count
202,o5ch055ATjfHgNFwgXbGcA,4RMHlggaIdNibPUJPVEd6w,Great watering hole!,2012-01-02 19:38:04,0
253,j7wiNAppjn1HEEqyP8OkqA,GlYN-RJyL_YwxIqsSDo1ag,Poblano potato ham cakes are the special this weekend,2012-01-15 15:53:11,0
272,jW1DJKo4DH9GsEYKFUHz3w,O_KX1Z4ZXMv0OVvQ9e8pNQ,Great flavors,2015-09-08 18:49:32,0
375,CzV4FlITtTjnq8dyiXiGkQ,boLOUdV5T1O5a1cWaClfDA,WAY too salty!,2016-01-27 01:38:14,0
428,I-wq3PJNBlaZ8tpi0SdS8A,frsWe9bmMOMIBOBNzsCTew,Come here for a late lunch and you can almost forget you're in the United States. Very little English being spoken.,2017-10-04 18:06:39,0
445,70p7ZC7JNkAn4YHJL2oLqQ,A0F-h3xJm_6gHDKcDQwSrQ,"Persimmon gelato - good,    mojito gelato - not so good.",2013-02-16 02:59:37,0
533,UnC8NYY-RRfh70cJVMSHzQ,oY5LFo6Yxxf32ePna6mEUQ,Spa messed up my body scrub appointment and offered later time. The later time did not work for me and they refunded the body scrub charge but still charged me the $20 day pass even though I had only used the facility for less than 30 minutes.,2013-12-27 19:22:12,0
559,ywIww7WHbmKRx8tNOk5i2g,iq0qAJ2Oc3myUTTMLseTXA,Very bland pizza. The large slice is more a gimmick and not practical.,2016-04-29 11:47:28,0
594,WqeE5e5ROfaVEgkb9dAkiQ,MTSW4McQd7CbVtyjqoe9mw,Love their pastries and drinks!,2017-09-20 17:00:27,0
705,JI6T6niNLWzks55uON1QDg,iBRXLFWD7PeSYDbKsd_JTw,They are out of frog legs :(,2015-09-05 22:49:07,0
875,xjLTK4saQ2Qe_6f9IxhVWg,cB5NEUkJOSIrjZR-agSltA,They are open on Sundays - 3 pm - 2 am,2013-02-24 23:53:09,0
925,w43g3Sr-udJVHilVgHlr7A,A0Jeadkkxq63uP2r27_6fw,"Once again, the clerk sees me come in, and doesn't get off her Blackberry. Made me wait about 30 seconds this time while she finished txting",2011-10-18 17:52:10,0
972,87X9z9-YFtX58mbQ2L1KPQ,NIQWO-Q_F598XlAvZnFVCA,"Truffle fries, corn dogs, or the riblets for starters! Can't go wrong with any of the beers either, but my favorite is Drakes 1500.",2013-12-12 20:09:09,0
1022,xjLTK4saQ2Qe_6f9IxhVWg,cB5NEUkJOSIrjZR-agSltA,Trivia at 7 on Thursdays!,2013-02-25 00:11:59,0
1027,ma6079CH58mAeIR8TBzElA,buhO8vRCaEoNvlxU0AJRpQ,Don't waste your time or money can't make anything right,2016-07-28 15:11:08,0
1070,dQDt0l5e9sre54eG7plUdA,y9yUyB9qldKaibuhJkC39w,"My healthy lunch spot I love the packaged Field Fresh chopped salad with chicken, Israeli couscous, currants,  asiago cheese,  and toasted pecans,  and sweet basil dressing for $3.99 can't be beat",2013-12-06 18:33:12,0
1102,Am_KAf9k8vXcmB8lvC8mWQ,7gyiQdr6MselGVlmbMkPMw,The vintage Tiffany earrings I've been eyeing for a year are still here...a sign from the jewelry Gods I'm sure,2011-01-12 20:50:58,0
1154,ECjfeIqrQj6e7VXVCTOleA,OrE8LhQpKVXTA6gJyu5G9Q,Costco card or AmEx Costco card really does get you 10% OFF! You can order to-go. Fast prep.,2015-03-07 22:07:40,0
1195,d90fhlNEmmkD91jpkXjjyQ,curw--Uj4rIWSRq69J_j8Q,Make sure you haven't shaved for at least two-three weeks if you're getting a Brazilian. I know it'll drive you crazy but it's so worth it!,2014-09-17 14:36:59,0
1301,j7wiNAppjn1HEEqyP8OkqA,GlYN-RJyL_YwxIqsSDo1ag,Breakfast special $1.99!,2012-03-20 14:43:37,0
1448,7JZvezE4QKPiHcmy1HSKDQ,SbdL-8NSmTWgSwdGZBa7WQ,"Good food, good people",2017-08-06 03:57:39,0
1511,t9rCx0ni7oabGhx2Bw-kZw,6Z89Ixagyc0mrVnyZHiIVw,The paella here was divine. All the seafood was succulent and rice cooked perfectly.,2013-06-01 22:48:45,0
1583,hj5Ja8M2vSTLgmcgzOW0Gg,ostgbmaf36hOicxyl71sPg,Delicious pizza AND great Italian dinners,2014-03-17 02:07:20,0
1601,XDHIa7cmHBL47XYcPPe5Rw,hLub5qdoU9w76O-k5pFiRg,Out of business - February 2015,2015-02-05 01:28:27,0
1628,zmlt7zUWY1Bi58_2n7UopQ,APW4-ESYGTIn17mY189Osg,Add some bread to your soup for $0.79,2014-03-20 15:48:16,0
1712,JQryB5y8Iy9BgkVADFIDTQ,yuW60QyweNNcyHa_3fkrYA,"OMG latkes, guys. Hearty, flavorful latkes. So happy.",2013-08-27 17:27:04,0
1845,Xw7ZjaGfr0WNVt6s_5KZfA,cB5NEUkJOSIrjZR-agSltA,"$2 draft on Tues, $3 anything on Weds",2013-05-30 02:30:32,0
1889,L4iT9ZCNxS2YxTzc2G5ucg,KabN4d4St6gxsVIA1KzS7A,Good gym but not a big space during peak hours so make sure you call ahead and ask what's the crowd like before making the drive...it's a good combination between Orange Theory Fitness and Anytime Fitness :),2015-09-03 21:58:57,1
1925,640-XJULtQ_P073RMClgPg,buhO8vRCaEoNvlxU0AJRpQ,Caffeine boost,2012-01-23 15:14:47,0
2045,q3jnFXllDl92i_acjMmAqg,QWqKTWQ2OiDgo3dzNkpung,Back again.,2012-06-13 19:47:17,0
2092,fih_HEOUORCXF-VWoZDIAA,S2Ho8yLxhKAa26pBAm6rxA,"Worst place to be, service undermine this city",2017-03-14 23:35:14,0
2157,P-Fv4Mm56a2wTEsA34JMew,dIpTuL2T1L98GQGU17IeSw,Wine down Wednesday: 1/2 price wine!,2012-05-31 01:17:21,0
2175,wKLYI27-HlYoI_KpyaLJjw,bN7KQSVbEmRVJnQEkl3vkw,Well here we go!,2013-08-25 01:41:48,0
2208,KYnMepSlQdna1DxF3Tj_hw,o2i4AvqF6Q9lWK-wksxzuw,So many gluten free options!,2015-05-24 18:12:18,0
2241,Xlb-Hxrvkfyadnkmk5hrgw,c6GTImF01z981_BNJIye2g,Ribs class!,2011-01-04 23:48:36,0
2332,rXFMeu6I9a9pcRyySGSQfA,kLG2-BOk3YHDXS8PCxekZA,A very classy place. Even the women feel free to belch openly here!,2012-05-26 03:53:45,0
2373,Wjia69bHEb7xeWMlxWNPGA,dIpTuL2T1L98GQGU17IeSw,Sneak into the back courtyard to hang out!,2013-03-14 21:16:26,0
2500,srRWZlj8-MtfdiR-oRwbFA,K8b2MQ5Az59-nzvqUfjJEQ,Fall salad...,2011-10-25 21:48:53,0
2501,7WTVHwpcgzsEe1ilu3ZCGw,5eldbLrF_oodWvu1VuEP8w,Complete false advertising on their new year's party. DON'T COME! No food (a 5 hour buffet was promised). The drinks are extremely weak! There are hundred of other New Year's parties around that are actually giving the customers what they paid for. Don't come here!,2017-01-01 04:09:47,0
2530,Am53OaJoKgw3NLrrQpDcng,Af2UlNzQSiZCapJ6qtwu6g,Best store in St. Louis - and elsewhere honestly. I've been shopping here for several years. Shop often - new treasures daily!,2011-10-06 18:19:36,0
2531,wLFuvZ59HGUJZ3QBgqlmAg,r43DrfYAbAgifsYyNkljZw,"Great music Thursday, Friday & Saturday nights. And never a cover.",2017-03-11 04:18:04,0
2666,u74KoKOshZobNmkb6L9PMw,0bPLkL0QhhPO5kt1_EXmNQ,Always a pleasant experience. The food is fresh and inexpensive. Great place to eat!,2017-07-15 00:51:19,0
2725,DWryovIM4VF2vim4p6WYaw,dIpTuL2T1L98GQGU17IeSw,Burrito was ok,2012-10-17 01:26:06,0
2740,1v9diJtvEnr6PH-1kOXUJA,2myVMP_l-9f9JIZewm19Cg,"Nice hotel, very pretty, clean and a good deal. The only thing is staff isn't very friendly.",2013-08-21 05:39:40,1
2834,xbfethSYuvFgHeW-gxqMyQ,zUJMvjK6aBeQtVCowZ85-w,The food was cold and tasteless.,2018-01-14 20:48:18,0
2836,35WgVGUNwj1z3VCgWTAabQ,QWqKTWQ2OiDgo3dzNkpung,"The food was ok but the service was horrible!!! I was eating n a guy was jerking in front if me n they didn't do anything, not even call the cops! The guy I was with talked to that guy the whole time n no one steped in to help us. Knowing we couldn't finish our food, they still made us pay. They didn't even say anything to us until we left. Horrible experience!!! Why would they leave a man sitting there for hours not even ordering food?? Not suspicious????",2013-03-12 14:08:39,0
2866,bi76Ih6tRv-ghYWFCJ0dag,aUbwGgYBX-kP4O3JgLCuXQ,Tara and Drew's Wedding!!,2010-11-20 23:01:47,0
2973,RVALk-GeKd504Ci-vGSTrw,Tm3QiAVLJAR2fEJK7APPPQ,My therapy! :-) debating on either soon the wefit class or Zumba.... Decisions decisions,2012-05-29 15:10:51,0
2974,6r_SqGghT3jGsiyt9t2IEg,GlYN-RJyL_YwxIqsSDo1ag,Trying something besides breakfast today! I'm sure I won't be disappointed!,2013-12-11 19:06:05,0
3041,acLOor4HFm1IuyEfT08ECw,E9-k8aOCS2sSh9RYxvWU_A,Food is consistently good,2015-08-30 23:18:43,0
3052,xXmtvRLU_Qpz0FT09mXGgQ,kLG2-BOk3YHDXS8PCxekZA,Dirty Martinis with Beth Inglish McMillian,2012-01-22 03:00:42,0
3150,pTL8bA87i3ttSa6QHoikLQ,JUlsvVAvZvGHWFfkKm0nlg,"BBQ & beer? Yes, please. Tex-mex, take me home!",2011-05-27 19:42:12,0
3254,q5BPCysNlI2_JZVq74qkDg,JUlsvVAvZvGHWFfkKm0nlg,"Come hungry , best Mexican Food in town. Best part bout this joint , ya don't get nightmarish mud butt.",2014-03-22 02:36:09,0
3328,-G7Zkl1wIWBBmD0KRy_sCw,zDJoyeohHjEX-Pz6zQfPng,Now the Stadium Bar & Grill.,2016-03-22 20:58:06,0
3329,axSG9jrGZPqL22l-MhVOpg,6GbuHdYPuN3jcSBmFplpXA,"Delicious and consistent, and they get Gluten Free!",2015-02-04 19:37:42,0
3345,lMY8NBPyzlPbbu-KBYfD9A,FMbU3h5FKs1PCNYiQCqBWw,Client waiting area revamp is to die for! Feels like home so I never mind waiting for service completion,2012-11-05 19:32:35,0
