,user_id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
33,aF3mEXDJuILmeF-9PcxAsQ,C.J.,250,2007-06-26 15:50:11,507,155,150,15,3.53,5,5,1,0,1,6,13,10,10,5,0
36,rppTTi-kfF8-qyiArNemag,Helen,460,2006-01-24 14:33:32,700,149,425,49,3.33,25,11,2,2,0,16,23,43,43,20,25
42,HoiOETUtwO4CL0PhjDCnSw,Whitney,177,2008-02-19 20:09:52,466,210,328,25,3.85,42,7,11,0,8,21,65,73,73,22,1
50,IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,2009-04-11 14:35:46,1325,450,348,35,2.95,32,4,2,7,1,35,17,20,20,20,6
56,RgDVC3ZUBqpEe6Y1kPhIpw,Monica,1282,2009-02-23 14:08:31,12640,10005,11149,804,4.17,1262,102,108,138,65,898,2584,1731,1731,551,177
58,OmjMNG77obZOKQ59o-Tx4Q,Jenna,556,2008-11-16 05:10:49,606,248,326,31,3.85,19,4,5,7,1,15,54,47,47,25,4
60,LwZJFLGxQwjjeOgpqTJnfw,Lucas,157,2010-09-21 18:14:11,92,38,37,5,3.63,0,2,0,0,0,4,1,5,5,1,5
97,PrJ37Ik9DxritxGPqI9ktw,David,85,2011-05-05 16:01:31,75,26,22,4,3.43,1,1,0,0,0,6,1,1,1,2,0
100,hSMVQ7MSh6B0OgPxFQFO8g,Reena,920,2009-01-25 06:23:45,2377,729,1415,88,3.95,214,25,16,28,20,127,361,343,343,86,30
109,KrIL3TIOJI-tjvU6BlcA-g,Elisabeth,141,2010-06-17 22:38:44,225,58,83,18,4.22,4,5,3,0,0,9,5,7,7,4,0
125,xwLpDq-rYnyObtBZCD0Wgg,Ellie,191,2009-02-26 13:42:02,281,71,70,7,3.51,1,2,0,0,0,9,14,4,4,4,1
126,6aJNIB8yGHDiwrzyxlExRw,J.,629,2009-07-22 19:48:45,739,133,141,15,3.82,2,3,0,0,1,5,17,11,11,3,8
136,ITa3vh5ERI90G_WP4SmGUQ,Peter,3193,2008-05-06 01:30:13,45810,48231,35149,2388,4.01,2352,368,336,345,342,2466,9175,4471,4471,1580,682
143,_SmK7sPegNCXH-oYR7503A,Jen,147,2006-01-18 18:01:34,178,43,75,13,3.75,3,3,0,0,3,6,6,10,10,3,0
148,Q5jOFJYhIsN8ouJ1rnsLQQ,Matthew,593,2006-06-21 20:03:01,1216,307,502,36,3.79,41,6,1,1,2,32,69,88,88,69,3
149,N_mkNFTiBCw2bbF_TJY9Ug,Ale,41,2007-06-06 06:58:04,78,18,26,2,3.99,4,4,2,0,1,12,21,22,22,3,0
159,ouODopBKF3AqfCkuQEnrDg,Danan,2108,2010-04-09 05:28:01,4527,1110,2850,134,3.5700000000000003,62,15,20,10,1,65,87,89,89,92,6
165,8Akq8sh1LSmJbqa6Jjxxqg,Todd,376,2009-01-15 16:40:06,1373,723,639,41,3.5,52,11,6,2,10,60,181,121,121,46,9
172,gYDFiPYFCeY52vvMvvy5Pw,Jamie,193,2009-08-27 19:07:33,411,120,178,18,4.03,43,7,6,3,3,8,35,43,43,19,1
198,TDXV6AC5PYOZEyN9eeODfA,Stephanie,631,2005-11-15 19:42:07,1241,354,587,75,3.68,44,17,7,21,6,24,37,56,56,23,15
205,Z2pXm4f-2O5ZpMUmXuYK0Q,Michelle,183,2008-10-27 15:16:11,639,420,406,26,3.65,87,16,3,4,5,29,48,73,73,21,8
206,S8JD8I-TRR7MoWyKhmw9VQ,Bethany,45,2008-03-28 04:37:46,156,70,128,7,4.02,10,4,1,0,0,6,5,12,12,0,0
